"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
108.2,1.5332,0.01269,,+-0.1,,,
108.2,1.689,0.02499,,+-0.1,,,
108.2,1.9348,0.05136,,+-0.1,,,
108.2,2.0864,0.0739,,+-0.1,,,
108.2,2.2076,0.09903,,+-0.1,,,
108.2,2.2985,0.12425,,+-0.1,,,
108.2,2.3672,0.14912,,+-0.1,,,
108.2,2.4218,0.1734,,+-0.1,,,
108.2,2.4697,0.19843,,+-0.1,,,
108.2,2.5114,0.22372,,+-0.1,,,
108.2,2.5488,0.24947,,+-0.1,,,
108.2,2.5828,0.2746,,+-0.1,,,
108.2,2.6093,0.29572,,+-0.1,,,
108.2,2.6146,0.29963,,+-0.1,,,
108.2,2.6691,0.34909,,+-0.1,,,
108.2,2.7186,0.39929,,+-0.1,,,
108.2,2.7598,0.44411,,+-0.1,,,
108.2,2.8039,0.49674,,+-0.1,,,
108.2,2.8421,0.54597,,+-0.1,,,
108.2,2.8761,0.59357,,+-0.1,,,
108.2,2.9104,0.64923,,+-0.1,,,
108.2,2.936,0.69944,,+-0.1,,,
108.2,2.9564,0.74811,,+-0.1,,,
108.2,2.9718,0.79934,,+-0.1,,,
108.2,2.9808,0.8524,,+-0.1,,,
108.2,2.9816,0.89534,,+-0.1,,,
108.2,2.9758,0.94316,,+-0.1,,,
108.2,2.9663,0.98044,,+-0.1,,,
108.2,2.9597,0.99756,,+-0.1,,,
