"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
369.26,18.48,0.0,0.0,0.025,+-0.03,,
369.26,21.55,0.025,0.105,0.025,+-0.03,,
369.26,24.52,0.05,0.193,0.025,+-0.03,,
369.26,29.37,0.0895,0.2905,0.025,+-0.03,,
369.26,33.85,0.1266,0.3575,0.025,+-0.03,,
369.26,35.53,0.1407,0.383,0.025,+-0.03,,
369.26,38.36,0.164,0.411,0.025,+-0.03,,
369.26,42.62,0.2,0.45,0.025,+-0.03,,
369.26,46.56,0.2323,0.482,0.025,+-0.03,,
369.26,50.23,0.264,0.4954,0.025,+-0.03,,
369.26,54.32,0.301,0.513,0.025,+-0.03,,
369.26,59.85,0.35,0.5267,0.025,+-0.03,,
369.26,62.11,0.373,0.5227,0.025,+-0.03,,
369.26,63.76,0.394,0.5205,0.025,+-0.03,,
369.26,65.58,0.426,0.504,0.025,+-0.03,,
369.26,66.09,0.431,0.504,0.025,+-0.03,,
