"T, K","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
298.15,87.6,0.109,0.626,,,,
298.15,106.1,0.208,0.708,,,,
298.15,113.7,0.303,0.73,,,,
298.15,118.0,0.397,0.753,,,,
298.15,121.8,0.507,0.776,,,,
298.15,124.9,0.6,0.791,,,,
298.15,127.8,0.7,0.814,,,,
298.15,130.2,0.806,0.848,,,,
298.15,130.9,0.899,0.896,,,,
