"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
85.0,16.28,0.0,0.0,,,,
85.0,19.16,0.0116,0.1552,,,,
85.0,25.5,0.0418,0.3895,,,,
85.0,30.38,0.0673,0.5073,,,,
85.0,40.9,0.1429,0.671,,,,
85.0,48.4,0.2177,0.7343,,,,
85.0,51.78,0.2594,0.7549,,,,
85.0,54.92,0.3049,0.7773,,,,
85.0,57.98,0.3668,0.7882,,,,
85.0,60.0,0.4215,0.8036,,,,
85.0,62.5,0.4847,0.8198,,,,
85.0,64.14,0.5389,0.831,,,,
85.0,63.99,0.5405,0.828,,,,
85.0,65.51,0.5944,0.8401,,,,
85.0,66.63,0.6649,0.8532,,,,
85.0,66.96,0.6805,0.855,,,,
85.0,67.29,0.7044,0.8595,,,,
85.0,67.76,0.7419,0.8669,,,,
85.0,68.13,0.767,0.8718,,,,
85.0,68.97,0.8464,0.8901,,,,
85.0,69.36,0.8898,0.9035,,,,
85.0,69.4,0.9231,0.9183,,,,
85.0,69.24,0.9462,0.9325,,,,
85.0,69.01,0.9633,0.9474,,,,
85.0,68.55,0.9806,0.968,,,,
85.0,67.54,1.0,1.0,,,,
