"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
368.15,0.1185,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.1337,0.041,0.175,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.1479,0.076,0.274,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.1733,0.149,0.427,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.2019,0.238,0.57,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.2171,0.283,0.633,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.2381,0.355,0.696,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.291,0.51,0.813,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.3356,0.63,0.892,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.3706,0.75,0.928,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.4076,0.847,0.956,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.4392,0.938,0.987,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.454,0.986,0.997,+-0.02,+-0.0002,+-0.003,+-0.003
368.15,0.4565,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
