"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
85.0,26.31,0.0,0.0,,,,
85.0,27.76,0.0071,0.0577,,,,
85.0,30.09,0.0211,0.1391,,,,
85.0,32.48,0.0362,0.211,,,,
85.0,35.61,0.0553,0.287,,,,
85.0,38.39,0.074,0.3472,,,,
85.0,41.13,0.0921,0.3998,,,,
85.0,44.11,0.1185,0.451,,,,
85.0,47.06,0.1453,0.4966,,,,
85.0,49.27,0.1694,0.5293,,,,
85.0,51.9,0.2016,0.5646,,,,
85.0,54.67,0.2372,0.5975,,,,
85.0,57.06,0.275,0.6257,,,,
85.0,58.6,0.3079,0.6483,,,,
85.0,61.37,0.3666,0.6783,,,,
85.0,63.38,0.4127,0.699,,,,
85.0,65.26,0.4649,0.7187,,,,
85.0,66.91,0.526,0.7387,,,,
85.0,68.26,0.5825,0.7562,,,,
85.0,69.48,0.6451,0.7774,,,,
85.0,70.4,0.7133,0.799,,,,
85.0,71.1,0.7826,0.8204,,,,
85.0,71.27,0.8481,0.8482,,,,
85.0,70.83,0.9165,0.889,,,,
85.0,69.21,0.973,0.9496,,,,
85.0,67.37,1.0,1.0,,,,
