"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
298.15,95.17,0.0,,+-0.01,+-0.1,,
298.15,113.14,0.0969,,+-0.01,+-0.1,,
298.15,121.63,0.1691,,+-0.01,+-0.1,,
298.15,128.12,0.2411,,+-0.01,+-0.1,,
298.15,132.03,0.2916,,+-0.01,+-0.1,,
298.15,135.39,0.3424,,+-0.01,+-0.1,,
298.15,138.26,0.395,,+-0.01,+-0.1,,
298.15,141.83,0.4715,,+-0.01,+-0.1,,
298.15,145.63,0.5729,,+-0.01,+-0.1,,
298.15,150.23,0.7576,,+-0.01,+-0.1,,
298.15,151.09,0.8082,,+-0.01,+-0.1,,
298.15,151.7,0.8516,,+-0.01,+-0.1,,
298.15,151.34,0.9608,,+-0.01,+-0.1,,
298.15,150.98,1.0,,+-0.01,+-0.1,,
