"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,51.5,0.0,0.0,0.01,0.1%,0.0002,0.0002
100,52.89,0.1,0.1206,0.01,0.1%,0.0002,0.0002
100,54.23,0.2,0.2345,0.01,0.1%,0.0002,0.0002
100,55.52,0.3,0.3425,0.01,0.1%,0.0002,0.0002
100,56.75,0.4,0.4452,0.01,0.1%,0.0002,0.0002
100,57.91,0.5,0.5426,0.01,0.1%,0.0002,0.0002
100,58.99,0.6,0.6383,0.01,0.1%,0.0002,0.0002
100,59.99,0.7,0.7302,0.01,0.1%,0.0002,0.0002
100,60.91,0.8,0.8204,0.01,0.1%,0.0002,0.0002
100,61.73,0.9,0.9099,0.01,0.1%,0.0002,0.0002
100,62.45,1.0,1.0,0.01,0.1%,0.0002,0.0002
