"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
75.0,10.78,0.0,0.0,,,,
75.0,11.56,0.0042,0.0673,,,,
75.0,12.62,0.01,0.1507,,,,
75.0,13.82,0.0178,0.2415,,,,
75.0,15.66,0.0285,0.3331,,,,
75.0,17.72,0.0433,0.4206,,,,
75.0,20.18,0.0603,0.499,,,,
75.0,23.34,0.0854,0.5744,,,,
75.0,24.85,0.0994,0.6053,,,,
75.0,29.18,0.1456,0.6749,,,,
75.0,33.53,0.2025,0.727,,,,
75.0,37.69,0.276,0.7674,,,,
75.0,40.95,0.355,0.7978,,,,
75.0,43.25,0.4311,0.8173,,,,
75.0,45.28,0.5171,0.8362,,,,
75.0,46.68,0.6013,0.8523,,,,
75.0,47.95,0.6966,0.868,,,,
75.0,48.89,0.7872,0.883,,,,
75.0,49.47,0.8763,0.9049,,,,
75.0,49.39,0.9605,0.9465,,,,
75.0,48.32,1.0,1.0,,,,
