"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
310,200,0.01058,0.97686,,,,
310,400,0.02114,0.98763,,,,
310,600,0.03151,0.990948,,,,
310,800,0.04199,0.992718,,,,
310,1000,0.05237,0.993422,,,,
310,1200,0.06281,0.993952,,,,
310,1400,0.07271,0.994043,,,,
310,1700,0.08735,0.993643,,,,
310,2000,0.1018,0.99362,,,,
310,2500,0.1226,0.99295,,,,
310,3000,0.1423,0.991139,,,,
310,3500,0.1621,0.98907,,,,
310,4000,0.1805,0.9869,,,,
310,4500,0.198,0.9849,,,,
310,5000,0.2145,0.98195,,,,
310,6000,0.2441,0.97644,,,,
