"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
220,80,,0.9797,+-0.5,,,
220,100,,0.9847,+-0.5,,,
220,200,,0.9943,+-0.5,,,
220,300,0.035,0.9962,+-0.5,,,
220,500,0.0575,0.9965,+-0.5,,,
220,750,0.0682,0.997,+-0.5,,,
220,800,0.0804,,+-0.5,,,
220,900,0.0925,0.997,+-0.5,,,
220,1000,0.107,0.9967,+-0.5,,,
220,1100,0.1075,0.99617,+-0.5,,,
220,1400,0.136,0.9939,+-0.5,,,
220,1500,0.152,0.99679,+-0.5,,,
220,1600,0.159,0.99788,+-0.5,,,
220,1900,0.186,,+-0.5,,,
220,2000,0.199,0.99614,+-0.5,,,
220,2100,0.203,0.99612,+-0.5,,,
220,2300,0.218,0.9963,+-0.5,,,
220,2300,0.217,0.987,+-0.5,,,
220,2300,0.217,0.9959,+-0.5,,,
220,2500,0.235,0.9955,+-0.5,,,
220,2700,0.241,0.99333,+-0.5,,,
220,2750,0.241,0.9958,+-0.5,,,
220,3000,0.26,0.9956,+-0.5,,,
220,3300,0.276,,+-0.5,,,
220,3400,0.285,0.9951,+-0.5,,,
220,3750,0.307,0.995,+-0.5,,,
220,3900,0.313,0.9945,+-0.5,,,
220,4000,0.323,0.9955,+-0.5,,,
220,4250,0.333,0.99312,+-0.5,,,
220,4500,0.342,0.9942,+-0.5,,,
220,4750,0.365,0.9932,+-0.5,,,
220,4950,0.37,0.9923,+-0.5,,,
