"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
25,0.7867,0.1483,0.9028,0.01,,,
25,1.141,0.217,0.9311,0.01,,,
25,1.5003,0.2863,0.9467,0.01,,,
25,1.9267,0.3634,0.957,0.01,,,
25,2.2531,0.4216,0.9622,0.01,,,
25,2.495,0.4634,0.9651,0.01,,,
25,2.892,0.5286,0.9691,0.01,,,
25,3.0846,0.5599,0.9704,0.01,,,
25,3.4469,0.6194,0.9727,0.01,,,
25,3.7128,0.66,0.9747,0.01,,,
25,4.0597,0.7139,0.9759,0.01,,,
25,4.4842,0.7762,0.9776,0.01,,,
25,4.8888,0.8314,0.9785,0.01,,,
25,5.2033,0.8725,0.9795,0.01,,,
25,5.4488,0.9015,0.9805,0.01,,,
25,5.8217,0.9376,0.9793,0.01,,,
