"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
230.3,73.59,1.0,1.0,0.1,0.05,0.0015,0.0015
230.3,75.57,0.8903,0.8664,0.1,0.05,0.0015,0.0015
230.3,77.64,0.7744,0.7368,0.1,0.05,0.0015,0.0015
230.3,78.68,0.7023,0.6607,0.1,0.05,0.0015,0.0015
230.3,80.39,0.6035,0.5609,0.1,0.05,0.0015,0.0015
230.3,81.83,0.495,0.4531,0.1,0.05,0.0015,0.0015
230.3,83.07,0.3975,0.3615,0.1,0.05,0.0015,0.0015
230.3,83.97,0.3272,0.2951,0.1,0.05,0.0015,0.0015
230.3,84.74,0.255,0.23,0.1,0.05,0.0015,0.0015
230.4,86.02,0.1584,0.1426,0.1,0.05,0.0015,0.0015
230.3,86.52,0.0854,0.0754,0.1,0.05,0.0015,0.0015
230.3,87.52,0.0,0.0,0.1,0.05,0.0015,0.0015
