"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
-20.0,14.1,0.0,0.0,+-0.05,0.2%,,
-20.0,15.9,0.055,0.133,+-0.05,0.2%,,
-20.0,17.3,0.102,0.22,+-0.05,0.2%,,
-20.0,18.7,0.163,0.309,+-0.05,0.2%,,
-20.0,19.9,0.234,0.373,+-0.05,0.2%,,
-20.0,21.1,0.325,0.445,+-0.05,0.2%,,
-20.0,21.6,0.384,0.503,+-0.05,0.2%,,
-20.0,22.3,0.508,0.57,+-0.05,0.2%,,
-20.0,22.6,0.577,0.613,+-0.05,0.2%,,
-20.0,22.7,0.6,0.621,+-0.05,0.2%,,
-20.0,22.8,0.659,0.663,+-0.05,0.2%,,
-20.0,22.7,0.745,0.714,+-0.05,0.2%,,
-20.0,22.0,0.863,0.803,+-0.05,0.2%,,
-20.0,20.8,0.945,0.898,+-0.05,0.2%,,
-20.0,19.3,1.0,1.0,+-0.05,0.2%,,
