"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
424.29,1.4,0.03,,+-0.05,+-0.01,0.001,
435.25,1.8,0.03,,+-0.05,+-0.01,0.001,
444.04,2.18,0.03,,+-0.05,+-0.01,0.001,
454.8,2.73,0.03,,+-0.05,+-0.01,0.001,
465.47,3.375,0.03,,+-0.05,+-0.01,0.001,
474.15,3.985,0.03,,+-0.05,+-0.01,0.001,
483.72,4.76,0.03,,+-0.05,+-0.01,0.001,
494.64,5.771,0.03,,+-0.05,+-0.01,0.001,
503.87,6.746,0.03,,+-0.05,+-0.01,0.001,
513.39,7.851,0.03,,+-0.05,+-0.01,0.001,
517.38,8.261,0.03,,+-0.05,+-0.01,0.001,
517.7,8.28,0.03,,+-0.05,+-0.01,0.001,
