"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,0.48,0.0,0.0,,,,
313.15,0.7,0.0678,0.3554,,,,
313.15,0.763,0.0877,0.4199,,,,
313.15,0.876,0.1247,0.5143,,,,
313.15,0.961,0.154,0.5723,,,,
313.15,1.109,0.2051,0.6503,,,,
313.15,1.159,0.2184,0.667,,,,
313.15,1.289,0.2742,0.7256,,,,
313.15,1.523,0.364,0.7934,,,,
313.15,1.719,0.4434,0.8367,,,,
313.15,1.877,0.5119,0.8663,,,,
313.15,1.905,0.525,0.8713,,,,
313.15,1.997,0.5759,0.8894,,,,
313.15,2.118,0.6298,0.9064,,,,
313.15,2.312,0.7232,0.9323,,,,
313.15,2.454,0.7953,0.9503,,,,
313.15,2.594,0.8636,0.9666,,,,
313.15,2.728,0.9338,0.9833,,,,
313.15,2.874,1.0,1.0,,,,
