"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
423.15,0.543,0.0,,,,,
423.15,0.574,0.0,,,,,
423.15,0.612,0.0,,,,,
423.15,0.652,0.0,,,,,
423.15,0.69,0.0,,,,,
423.15,0.754,0.0,,,,,
423.15,0.817,0.0,,,,,
423.15,0.887,0.0,,,,,
423.15,0.975,0.0,,,,,
423.15,1.079,0.0,,,,,
423.15,1.225,0.0,,,,,
423.15,1.381,0.0,,,,,
423.15,1.384,0.0,,,,,
423.15,1.727,0.0,,,,,
423.15,2.305,0.0,,,,,
423.15,3.158,0.0,,,,,
423.15,3.993,0.0,,,,,
423.15,0.54,0.1513,,,,,
423.15,0.573,0.1513,,,,,
423.15,0.61,0.1513,,,,,
423.15,0.654,0.1513,,,,,
423.15,0.702,0.1513,,,,,
423.15,0.758,0.1513,,,,,
423.15,0.825,0.1513,,,,,
423.15,0.905,0.1513,,,,,
423.15,0.996,0.1513,,,,,
423.15,1.111,0.1513,,,,,
423.15,1.251,0.1513,,,,,
423.15,1.439,0.1513,,,,,
423.15,1.621,0.1513,,,,,
423.15,1.814,0.1513,,,,,
423.15,1.996,0.1513,,,,,
423.15,3.024,0.1513,,,,,
423.15,3.516,0.1513,,,,,
423.15,4.095,0.1513,,,,,
423.15,0.427,0.2878,,,,,
423.15,0.471,0.2878,,,,,
423.15,0.523,0.2878,,,,,
423.15,0.592,0.2878,,,,,
423.15,0.681,0.2878,,,,,
423.15,0.802,0.2878,,,,,
423.15,1.005,0.2878,,,,,
423.15,1.222,0.2878,,,,,
423.15,1.467,0.2878,,,,,
423.15,1.627,0.2878,,,,,
423.15,1.831,0.2878,,,,,
423.15,1.838,0.2878,,,,,
423.15,2.084,0.2878,,,,,
423.15,2.557,0.2878,,,,,
423.15,3.31,0.2878,,,,,
423.15,4.107,0.2878,,,,,
423.15,0.362,0.4682,,,,,
423.15,0.385,0.4682,,,,,
423.15,0.411,0.4682,,,,,
423.15,0.441,0.4682,,,,,
423.15,0.475,0.4682,,,,,
423.15,0.416,0.4682,,,,,
423.15,0.562,0.4682,,,,,
423.15,0.62,0.4682,,,,,
423.15,0.689,0.4682,,,,,
423.15,0.776,0.4682,,,,,
423.15,0.89,0.4682,,,,,
423.15,1.033,0.4682,,,,,
423.15,1.239,0.4682,,,,,
423.15,1.547,0.4682,,,,,
423.15,1.831,0.4682,,,,,
423.15,2.057,0.4682,,,,,
423.15,2.58,0.4682,,,,,
423.15,3.072,0.4682,,,,,
423.15,3.548,0.4682,,,,,
423.15,4.009,0.4682,,,,,
423.15,0.248,0.7117,,,,,
423.15,0.264,0.7117,,,,,
423.15,0.283,0.7117,,,,,
423.15,0.307,0.7117,,,,,
423.15,0.332,0.7117,,,,,
423.15,0.362,0.7117,,,,,
423.15,0.397,0.7117,,,,,
423.15,0.44,0.7117,,,,,
423.15,0.56,0.7117,,,,,
423.15,0.644,0.7117,,,,,
423.15,0.767,0.7117,,,,,
423.15,1.002,0.7117,,,,,
423.15,1.075,0.7117,,,,,
423.15,1.715,0.7117,,,,,
423.15,2.091,0.7117,,,,,
423.15,2.586,0.7117,,,,,
423.15,3.101,0.7117,,,,,
423.15,4.063,0.7117,,,,,
423.15,0.272,1.0,,,,,
423.15,0.29,1.0,,,,,
423.15,0.312,1.0,,,,,
423.15,0.334,1.0,,,,,
423.15,0.362,1.0,,,,,
423.15,0.393,1.0,,,,,
423.15,0.432,1.0,,,,,
423.15,0.477,1.0,,,,,
423.15,0.536,1.0,,,,,
423.15,0.632,1.0,,,,,
423.15,0.731,1.0,,,,,
423.15,0.749,1.0,,,,,
423.15,0.751,1.0,,,,,
423.15,1.072,1.0,,,,,
423.15,1.578,1.0,,,,,
423.15,2.522,1.0,,,,,
423.15,3.006,1.0,,,,,
423.15,3.449,1.0,,,,,
423.15,4.054,1.0,,,,,
