"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
308.15,134.17,0.0,,,,,
308.15,174.25,0.0083,,,,,
308.15,212.49,0.0238,,,,,
308.15,238.12,0.0391,,,,,
308.15,259.4,0.0677,,,,,
308.15,272.88,0.1009,,,,,
308.15,285.23,0.1735,,,,,
308.15,290.88,0.3296,,,,,
308.15,292.14,0.3949,,,,,
308.15,292.82,0.488,,,,,
308.15,293.48,0.5825,,,,,
308.15,293.64,0.6377,,,,,
308.15,293.39,0.6504,,,,,
308.15,290.55,0.7679,,,,,
308.15,285.0,0.8326,,,,,
308.15,280.63,0.8657,,,,,
308.15,238.78,0.9662,,,,,
308.15,206.91,1.0,,,,,
