"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
408.0,100,0.0,0.0,,,,
381.4,100,0.069,0.375,,,,
362.0,100,0.179,0.632,,,,
338.4,100,0.34,0.807,,,,
323.4,100,0.494,0.901,,,,
311.4,100,0.649,0.953,,,,
301.0,100,0.815,0.983,,,,
294.4,100,1.0,1.0,,,,
