"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
80.25,760,0.0,0.0,+-0.1,+-0.1,+-0.1%,+-0.1%
78.04,760,0.0412,0.1053,+-0.1,+-0.1,+-0.1%,+-0.1%
77.42,760,0.0508,0.1335,+-0.1,+-0.1,+-0.1%,+-0.1%
75.83,760,0.0819,0.2094,+-0.1,+-0.1,+-0.1%,+-0.1%
74.95,760,0.1128,0.262,+-0.1,+-0.1,+-0.1%,+-0.1%
74.15,760,0.1326,0.2825,+-0.1,+-0.1,+-0.1%,+-0.1%
72.26,760,0.1553,0.3482,+-0.1,+-0.1,+-0.1%,+-0.1%
71.91,760,0.1938,0.4016,+-0.1,+-0.1,+-0.1%,+-0.1%
71.24,760,0.217,0.425,+-0.1,+-0.1,+-0.1%,+-0.1%
70.5,760,0.2487,0.435,+-0.1,+-0.1,+-0.1%,+-0.1%
69.95,760,0.2773,0.4723,+-0.1,+-0.1,+-0.1%,+-0.1%
69.75,760,0.3025,0.4807,+-0.1,+-0.1,+-0.1%,+-0.1%
69.36,760,0.348,0.495,+-0.1,+-0.1,+-0.1%,+-0.1%
69.27,760,0.3793,0.5102,+-0.1,+-0.1,+-0.1%,+-0.1%
69.06,760,0.4302,0.5455,+-0.1,+-0.1,+-0.1%,+-0.1%
68.6,760,0.4851,0.5736,+-0.1,+-0.1,+-0.1%,+-0.1%
68.27,760,0.5373,0.6189,+-0.1,+-0.1,+-0.1%,+-0.1%
68.21,760,0.5743,0.6339,+-0.1,+-0.1,+-0.1%,+-0.1%
68.16,760,0.629,0.6485,+-0.1,+-0.1,+-0.1%,+-0.1%
68.09,760,0.6725,0.697,+-0.1,+-0.1,+-0.1%,+-0.1%
67.99,760,0.6928,0.7143,+-0.1,+-0.1,+-0.1%,+-0.1%
67.92,760,0.704,0.7155,+-0.1,+-0.1,+-0.1%,+-0.1%
67.93,760,0.7338,0.748,+-0.1,+-0.1,+-0.1%,+-0.1%
67.94,760,0.7555,0.7555,+-0.1,+-0.1,+-0.1%,+-0.1%
67.94,760,0.7686,0.7598,+-0.1,+-0.1,+-0.1%,+-0.1%
67.96,760,0.7813,0.7728,+-0.1,+-0.1,+-0.1%,+-0.1%
67.8,760,0.8085,0.7972,+-0.1,+-0.1,+-0.1%,+-0.1%
68.02,760,0.8825,0.8505,+-0.1,+-0.1,+-0.1%,+-0.1%
68.12,760,0.9172,0.8927,+-0.1,+-0.1,+-0.1%,+-0.1%
68.36,760,0.9432,0.925,+-0.1,+-0.1,+-0.1%,+-0.1%
68.74,760,1.0,1.0,+-0.1,+-0.1,+-0.1%,+-0.1%
