"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
338.15,0.0484,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.0988,0.09,0.548,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.1236,0.136,0.671,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.1777,0.229,0.783,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.2109,0.29,0.839,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.2726,0.407,0.901,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.3442,0.537,0.95,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.3997,0.625,0.97,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.4628,0.727,0.988,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.5069,0.814,0.999,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.5544,0.892,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.5623,0.919,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.6106,0.998,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
338.15,0.6147,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
