"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
293.15,9.438,0.0,,+-0.1,0.015,0.0003,
293.15,8.698,0.0936,,+-0.1,0.015,0.0003,
293.15,7.978,0.2006,,+-0.1,0.015,0.0003,
293.15,7.238,0.315,,+-0.1,0.015,0.0003,
293.15,6.826,0.377,,+-0.1,0.015,0.0003,
293.15,6.191,0.4798,,+-0.1,0.015,0.0003,
293.15,5.617,0.5597,,+-0.1,0.015,0.0003,
293.15,4.818,0.658,,+-0.1,0.015,0.0003,
293.15,3.943,0.7497,,+-0.1,0.015,0.0003,
293.15,3.444,0.8049,,+-0.1,0.015,0.0003,
293.15,1.363,0.9324,,+-0.1,0.015,0.0003,
293.15,0.003,1.0,,+-0.1,0.015,0.0003,
