"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
423.12,1.325,0.252,,+-0.05,+-0.01,0.001,
432.42,1.63,0.252,,+-0.05,+-0.01,0.001,
443.04,2.04,0.252,,+-0.05,+-0.01,0.001,
452.46,2.46,0.252,,+-0.05,+-0.01,0.001,
462.38,2.971,0.252,,+-0.05,+-0.01,0.001,
473.23,3.606,0.252,,+-0.05,+-0.01,0.001,
483.31,4.262,0.252,,+-0.05,+-0.01,0.001,
492.64,4.937,0.252,,+-0.05,+-0.01,0.001,
501.74,5.662,0.252,,+-0.05,+-0.01,0.001,
511.05,6.392,0.252,,+-0.05,+-0.01,0.001,
519.98,7.1,0.252,,+-0.05,+-0.01,0.001,
529.67,7.629,0.252,,+-0.05,+-0.01,0.001,
534.71,7.65,0.252,,+-0.05,+-0.01,0.001,
535.0,7.66,0.252,,+-0.05,+-0.01,0.001,
