"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
45.0,88.7,,0.036,0.2,0.3,0.0025,0.0025
45.0,88.9,,0.052,0.2,0.3,0.0025,0.0025
45.0,90.5,0.061,,0.2,0.3,0.0025,0.0025
45.0,90.1,0.08,,0.2,0.3,0.0025,0.0025
45.0,88.6,0.114,,0.2,0.3,0.0025,0.0025
45.0,88.2,0.117,,0.2,0.3,0.0025,0.0025
45.0,87.6,0.156,,0.2,0.3,0.0025,0.0025
45.0,85.9,0.16,,0.2,0.3,0.0025,0.0025
45.0,83.7,0.211,,0.2,0.3,0.0025,0.0025
45.0,79.4,0.261,,0.2,0.3,0.0025,0.0025
45.0,68.9,0.441,,0.2,0.3,0.0025,0.0025
45.0,45.2,0.691,,0.2,0.3,0.0025,0.0025
45.0,28.1,0.816,,0.2,0.3,0.0025,0.0025
