"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
100.0,760,0.0,0.0,,+-1,,
96.5,760,0.00024,0.1,,+-1,,
92.9,760,0.00055,0.2,,+-1,,
89.5,760,0.00105,0.3,,+-1,,
85.9,760,0.00201,0.4,,+-1,,
82.1,760,0.0037,0.5,,+-1,,
77.5,760,0.00683,0.6,,+-1,,
74.3,760,0.00935,0.65,,+-1,,
70.5,760,0.03,0.7,,+-1,,
70.4,760,0.05,0.701,,+-1,,
70.4,760,0.1,0.701,,+-1,,
70.4,760,0.2,0.701,,+-1,,
70.4,760,0.3,0.701,,+-1,,
70.4,760,0.4,0.701,,+-1,,
70.4,760,0.5,0.701,,+-1,,
70.4,760,0.6,0.701,,+-1,,
70.4,760,0.7,0.701,,+-1,,
70.7,760,0.8,0.705,,+-1,,
72.2,760,0.9,0.75,,+-1,,
73.5,760,0.941,0.8,,+-1,,
74.5,760,0.965,0.85,,+-1,,
75.5,760,0.975,0.9,,+-1,,
76.3,760,0.988,0.95,,+-1,,
77.2,760,1.0,1.0,,+-1,,
