"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
369.83,101.32,0.0,0.0,+-0.01,+-0.02,,
370.4,101.32,0.0407,0.0167,+-0.01,+-0.02,,
370.65,101.32,0.0594,0.0245,+-0.01,+-0.02,,
370.99,101.32,0.0837,0.0341,+-0.01,+-0.02,,
371.29,101.32,0.1035,0.0421,+-0.01,+-0.02,,
371.63,101.32,0.1252,0.0498,+-0.01,+-0.02,,
371.74,101.32,0.1355,0.0537,+-0.01,+-0.02,,
372.15,101.32,0.1615,0.0628,+-0.01,+-0.02,,
372.53,101.32,0.1874,0.0715,+-0.01,+-0.02,,
373.1,101.32,0.2191,0.0821,+-0.01,+-0.02,,
373.73,101.32,0.2573,0.0944,+-0.01,+-0.02,,
374.33,101.32,0.2924,0.1063,+-0.01,+-0.02,,
374.97,101.32,0.3259,0.1176,+-0.01,+-0.02,,
375.85,101.32,0.3641,0.131,+-0.01,+-0.02,,
376.55,101.32,0.404,0.1444,+-0.01,+-0.02,,
377.65,101.32,0.4466,0.1596,+-0.01,+-0.02,,
378.7,101.32,0.4867,0.177,+-0.01,+-0.02,,
379.7,101.32,0.5166,0.1903,+-0.01,+-0.02,,
380.75,101.32,0.5548,0.2088,+-0.01,+-0.02,,
381.85,101.32,0.5879,0.2255,+-0.01,+-0.02,,
383.15,101.32,0.621,0.2424,+-0.01,+-0.02,,
384.55,101.32,0.6552,0.2633,+-0.01,+-0.02,,
385.72,101.32,0.6833,0.2821,+-0.01,+-0.02,,
386.69,101.32,0.6996,0.2956,+-0.01,+-0.02,,
389.31,101.32,0.7479,0.3375,+-0.01,+-0.02,,
392.42,101.32,0.7946,0.3935,+-0.01,+-0.02,,
394.99,101.32,0.8246,0.4325,+-0.01,+-0.02,,
396.85,101.32,0.8442,0.4667,+-0.01,+-0.02,,
399.5,101.32,0.8736,0.5268,+-0.01,+-0.02,,
402.13,101.32,0.8962,0.5877,+-0.01,+-0.02,,
403.55,101.32,0.9111,0.6197,+-0.01,+-0.02,,
405.65,101.32,0.9287,0.6761,+-0.01,+-0.02,,
408.35,101.32,0.958,0.7514,+-0.01,+-0.02,,
410.45,101.32,0.9616,0.8075,+-0.01,+-0.02,,
412.15,101.32,0.9747,0.8626,+-0.01,+-0.02,,
414.07,101.32,0.9881,0.928,+-0.01,+-0.02,,
415.05,101.32,0.9952,0.9676,+-0.01,+-0.02,,
416.65,101.32,1.0,1.0,+-0.01,+-0.02,,
