"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
116.1,760,0.02,0.08,+-0.1,+-1,,
112.9,760,0.06,0.202,+-0.1,+-1,,
111.4,760,0.08,0.27,+-0.1,+-1,,
110.0,760,0.1,0.31,+-0.1,+-1,,
108.9,760,0.111,0.345,+-0.1,+-1,,
108.5,760,0.12,0.37,+-0.1,+-1,,
107.2,760,0.14,0.396,+-0.1,+-1,,
106.0,760,0.156,0.41,+-0.1,+-1,,
105.2,760,0.184,0.465,+-0.1,+-1,,
102.8,760,0.234,0.528,+-0.1,+-1,,
101.3,760,0.285,0.57,+-0.1,+-1,,
99.9,760,0.33,0.6,+-0.1,+-1,,
98.8,760,0.39,0.644,+-0.1,+-1,,
97.8,760,0.47,0.67,+-0.1,+-1,,
97.3,760,0.51,0.69,+-0.1,+-1,,
96.6,760,0.595,0.71,+-0.1,+-1,,
96.3,760,0.71,0.745,+-0.1,+-1,,
96.2,760,0.761,0.77,+-0.1,+-1,,
96.4,760,0.842,0.796,+-0.1,+-1,,
97.1,760,0.89,0.83,+-0.1,+-1,,
99.0,760,0.965,0.923,+-0.1,+-1,,
99.5,760,0.981,0.951,+-0.1,+-1,,
