"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
50.0,10.0,0.0449,0.9999,0.02,+-0.07,,
50.0,20.0,0.086,0.9999,0.02,+-0.07,,
50.0,30.0,0.1251,0.9999,0.02,+-0.07,,
50.0,40.0,0.1622,0.9999,0.02,+-0.07,,
50.0,50.0,0.1974,0.9999,0.02,+-0.07,,
50.0,60.0,0.2306,0.9999,0.02,+-0.07,,
50.0,70.0,0.2618,0.9999,0.02,+-0.07,,
50.0,80.0,0.2911,0.9999,0.02,+-0.07,,
50.0,90.0,0.3184,0.9999,0.02,+-0.07,,
50.0,100.0,0.3471,0.9999,0.02,+-0.07,,
50.0,120.0,0.3994,0.9999,0.02,+-0.07,,
50.0,140.0,0.448,0.9999,0.02,+-0.07,,
50.0,160.0,0.4935,0.997,0.02,+-0.07,,
50.0,180.0,0.5365,0.9906,0.02,+-0.07,,
50.0,200.0,0.5775,0.987,0.02,+-0.07,,
50.0,220.0,0.6173,0.9857,0.02,+-0.07,,
50.0,240.0,0.6562,0.9837,0.02,+-0.07,,
50.0,260.0,0.695,0.9783,0.02,+-0.07,,
50.0,280.0,0.7343,0.9662,0.02,+-0.07,,
50.0,300.0,0.7745,0.9445,0.02,+-0.07,,
50.0,310.0,0.8003,0.9292,0.02,+-0.07,,
50.0,315.0,0.823,0.912,0.02,+-0.07,,
50.0,318.0,0.872,0.872,0.02,+-0.07,,
