"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
216.5,760,0.108,0.596,+-0.18,,,
203.6,760,0.205,0.75,+-0.18,,,
192.2,760,0.366,0.86,+-0.18,,,
183.6,760,0.498,0.909,+-0.18,,,
178.1,760,0.607,0.938,+-0.18,,,
177.8,760,0.698,0.957,+-0.18,,,
175.0,760,0.776,0.97,+-0.18,,,
166.7,760,0.844,0.979,+-0.18,,,
160.5,760,0.902,0.987,+-0.18,,,
