"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
30,57.7,0.005,0.00031,,+-0.05,+-0.001,+-0.001
30,57.5,0.01,0.00063,,+-0.05,+-0.001,+-0.001
30,57.0,0.02,0.0011,,+-0.05,+-0.001,+-0.001
30,56.4,0.04,0.0016,,+-0.05,+-0.001,+-0.001
30,55.3,0.08,0.0023,,+-0.05,+-0.001,+-0.001
30,54.4,0.12,0.0027,,+-0.05,+-0.001,+-0.001
30,53.0,0.18,0.0032,,+-0.05,+-0.001,+-0.001
30,49.9,0.3,0.0041,,+-0.05,+-0.001,+-0.001
30,41.4,0.5,0.0065,,+-0.05,+-0.001,+-0.001
30,28.8,0.7,0.0121,,+-0.05,+-0.001,+-0.001
30,16.0,0.85,0.026,,+-0.05,+-0.001,+-0.001
30,11.2,0.9,0.037,,+-0.05,+-0.001,+-0.001
30,5.99,0.95,0.078,,+-0.05,+-0.001,+-0.001
30,2.72,0.98,0.173,,+-0.05,+-0.001,+-0.001
30,1.67,0.99,0.295,,+-0.05,+-0.001,+-0.001
