"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
393.15,15.77,0.0,,+-0.01,+-0.003,,
393.15,17.28,0.0883,,+-0.01,+-0.003,,
393.15,18.42,0.2122,,+-0.01,+-0.003,,
393.15,18.9,0.371,,+-0.01,+-0.003,,
393.15,18.85,0.4953,,+-0.01,+-0.003,,
393.15,18.71,0.5679,,+-0.01,+-0.003,,
393.15,18.47,0.6344,,+-0.01,+-0.003,,
393.15,18.54,0.6368,,+-0.01,+-0.003,,
393.15,18.36,0.673,,+-0.01,+-0.003,,
393.15,18.08,0.716,,+-0.01,+-0.003,,
393.15,17.3,0.8009,,+-0.01,+-0.003,,
393.15,16.06,0.8837,,+-0.01,+-0.003,,
393.15,14.84,0.9396,,+-0.01,+-0.003,,
393.15,13.55,0.9841,,+-0.01,+-0.003,,
393.15,12.99,1.0,,+-0.01,+-0.003,,
