"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
264.89,1.941,0.0018,,0.01,,+-0.001,
268.31,2.116,0.0018,,0.01,,+-0.001,
270.56,2.237,0.0018,,0.01,,+-0.001,
274.11,2.44,0.0018,,0.01,,+-0.001,
274.65,2.469,0.0018,,0.01,,+-0.001,
277.07,2.616,0.0018,,0.01,,+-0.001,
279.56,2.77,0.0018,,0.01,,+-0.001,
281.98,2.93,0.0018,,0.01,,+-0.001,
284.46,3.1,0.0018,,0.01,,+-0.001,
287.39,3.308,0.0018,,0.01,,+-0.001,
289.36,3.455,0.0018,,0.01,,+-0.001,
292.29,3.683,0.0018,,0.01,,+-0.001,
294.27,3.842,0.0018,,0.01,,+-0.001,
297.19,4.089,0.0018,,0.01,,+-0.001,
299.19,4.26,0.0018,,0.01,,+-0.001,
301.14,4.434,0.0018,,0.01,,+-0.001,
302.1,4.524,0.0018,,0.01,,+-0.001,
303.12,4.619,0.0018,,0.01,,+-0.001,
304.05,4.702,0.0018,,0.01,,+-0.001,
304.1,4.714,0.0018,,0.01,,+-0.001,
305.08,4.806,0.0018,,0.01,,+-0.001,
306.06,4.902,0.0018,,0.01,,+-0.001,
307.05,4.996,0.0018,,0.01,,+-0.001,
307.08,4.997,0.0018,,0.01,,+-0.001,
308.03,5.092,0.0018,,0.01,,+-0.001,
308.52,5.137,0.0018,,0.01,,+-0.001,
308.54,5.141,0.0018,,0.01,,+-0.001,
308.52,5.142,0.0018,,0.01,,+-0.001,
308.59,5.146,0.0018,,0.01,,+-0.001,
308.62,5.147,0.0018,,0.01,,+-0.001,
308.64,5.15,0.0018,,0.01,,+-0.001,
308.7,5.157,0.0018,,0.01,,+-0.001,
308.72,5.158,0.0018,,0.01,,+-0.001,
308.74,5.16,0.0018,,0.01,,+-0.001,
308.8,5.166,0.0018,,0.01,,+-0.001,
308.82,5.168,0.0018,,0.01,,+-0.001,
308.82,5.168,0.0018,,0.01,,+-0.001,
308.85,5.17,0.0018,,0.01,,+-0.001,
308.84,5.17,0.0018,,0.01,,+-0.001,
308.87,5.172,0.0018,,0.01,,+-0.001,
308.89,5.174,0.0018,,0.01,,+-0.001,
308.97,5.178,0.0018,,0.01,,+-0.001,
308.95,5.18,0.0018,,0.01,,+-0.001,
309.01,5.185,0.0018,,0.01,,+-0.001,
309.0,5.185,0.0018,,0.01,,+-0.001,
309.0,5.186,0.0018,,0.01,,+-0.001,
309.06,5.189,0.0018,,0.01,,+-0.001,
309.06,5.19,0.0018,,0.01,,+-0.001,
309.1,5.193,0.0018,,0.01,,+-0.001,
309.15,5.2,0.0018,,0.01,,+-0.001,
309.21,5.204,0.0018,,0.01,,+-0.001,
309.26,5.208,0.0018,,0.01,,+-0.001,
309.35,5.217,0.0018,,0.01,,+-0.001,
309.4,5.222,0.0018,,0.01,,+-0.001,
309.44,5.226,0.0018,,0.01,,+-0.001,
309.49,5.229,0.0018,,0.01,,+-0.001,
309.54,5.234,0.0018,,0.01,,+-0.001,
