"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
115.0,32.27,0.0,0.0,,,,
115.0,33.55,0.0118,0.044,,,,
115.0,35.34,0.0299,0.1138,,,,
115.0,38.55,0.0641,0.2187,,,,
115.0,42.2,0.1095,0.3196,,,,
115.0,45.81,0.161,0.412,,,,
115.0,50.31,0.2363,0.5054,,,,
115.0,54.14,0.3119,0.5754,,,,
115.0,57.75,0.3957,0.6391,,,,
115.0,60.7,0.476,0.6833,,,,
115.0,63.35,0.5578,0.7325,,,,
115.0,66.17,0.6572,0.7832,,,,
115.0,68.55,0.7504,0.836,,,,
115.0,70.35,0.8327,0.8826,,,,
115.0,71.84,0.902,0.926,,,,
115.0,72.66,0.9531,0.9622,,,,
115.0,73.07,0.9852,0.9871,,,,
115.0,73.14,1.0,1.0,,,,
