"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
65.0,190.3,0.086,0.042,+-0.1,+-0.5,+-0.002,+-0.010
65.0,183.6,0.158,0.063,+-0.1,+-0.5,+-0.002,+-0.010
65.0,183.3,0.229,0.073,+-0.1,+-0.5,+-0.002,+-0.010
65.0,175.1,0.311,0.082,+-0.1,+-0.5,+-0.002,+-0.010
65.0,175.8,0.319,0.079,+-0.1,+-0.5,+-0.002,+-0.010
65.0,174.8,0.356,0.085,+-0.1,+-0.5,+-0.002,+-0.010
65.0,169.7,0.396,0.085,+-0.1,+-0.5,+-0.002,+-0.010
65.0,167.3,0.459,0.086,+-0.1,+-0.5,+-0.002,+-0.010
65.0,160.5,0.614,0.084,+-0.1,+-0.5,+-0.002,+-0.010
65.0,149.1,0.703,0.104,+-0.1,+-0.5,+-0.002,+-0.010
65.0,142.6,0.734,0.108,+-0.1,+-0.5,+-0.002,+-0.010
65.0,140.9,0.758,0.107,+-0.1,+-0.5,+-0.002,+-0.010
65.0,131.1,0.818,0.129,+-0.1,+-0.5,+-0.002,+-0.010
65.0,132.9,0.829,0.127,+-0.1,+-0.5,+-0.002,+-0.010
