"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
273.26,34.53,0.0,0.0,+-0.05,+-0.1,,
273.26,37.32,0.001,0.0448,+-0.05,+-0.1,,
273.26,40.31,0.0022,0.0941,+-0.05,+-0.1,,
273.26,48.83,0.0029,0.1434,+-0.05,+-0.1,,
273.26,51.02,0.0048,0.2225,+-0.05,+-0.1,,
273.26,60.86,0.0089,0.3197,+-0.05,+-0.1,,
273.26,66.42,0.0142,0.363,+-0.05,+-0.1,,
273.26,74.51,0.0173,0.4232,+-0.05,+-0.1,,
273.26,80.91,0.0181,0.4594,+-0.05,+-0.1,,
273.26,87.84,0.021,0.4983,+-0.05,+-0.1,,
273.26,106.74,0.0268,0.5775,+-0.05,+-0.1,,
273.26,127.43,0.0293,0.6394,+-0.05,+-0.1,,
273.26,134.6,0.031,0.6569,+-0.05,+-0.1,,
