"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
110.6,101.3,0.0742,0.3121,+-0.02,,,
109.0,101.3,0.0905,0.33,+-0.02,,,
107.4,101.3,0.1221,0.416,+-0.02,,,
105.5,101.3,0.1428,0.465,+-0.02,,,
102.96,101.3,0.1595,0.5086,+-0.02,,,
101.45,101.3,0.1854,0.5581,+-0.02,,,
94.5,101.3,0.3485,0.7077,+-0.02,,,
93.2,101.3,0.4271,0.7274,+-0.02,,,
92.6,101.3,0.4903,0.759,+-0.02,,,
92.6,101.3,0.5668,0.7581,+-0.02,,,
92.5,101.3,0.6527,0.7614,+-0.02,,,
92.5,101.3,0.8633,0.76,+-0.02,,,
93.5,101.3,0.9863,0.7508,+-0.02,,,
97.6,101.3,0.993,0.8303,+-0.02,,,
99.51,101.3,0.9987,0.9528,+-0.02,,,
