"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
100,48.56,0.0195,,,,,
100,50.9,0.048,,,,,
100,53.07,0.0813,,,,,
100,57.4,0.14,,,,,
100,58.58,0.1565,,,,,
100,62.87,0.2222,,,,,
100,68.98,0.3092,,,,,
100,72.12,0.3618,,,,,
100,75.84,0.4142,,,,,
100,77.79,0.4421,,,,,
100,82.27,0.5169,,,,,
100,85.45,0.5703,,,,,
100,90.69,0.6483,,,,,
100,91.92,0.6597,,,,,
100,92.27,0.7485,,,,,
100,98.28,0.7691,,,,,
100,99.45,0.7888,,,,,
100,100.2,0.7982,,,,,
100,101.91,0.823,,,,,
100,103.47,0.8514,,,,,
100,104.78,0.8685,,,,,
100,105.93,0.8903,,,,,
100,106.83,0.9001,,,,,
100,106.69,0.9444,,,,,
100,106.56,0.947,,,,,
