"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
100.0,760,0.0,0.0,+-0.1,+-0.1,+-0.1%,+-0.1%
98.77,760,0.0193,0.077,+-0.1,+-0.1,+-0.1%,+-0.1%
97.8,760,0.0296,0.1097,+-0.1,+-0.1,+-0.1%,+-0.1%
97.1,760,0.0411,0.1357,+-0.1,+-0.1,+-0.1%,+-0.1%
95.3,760,0.0613,0.1999,+-0.1,+-0.1,+-0.1%,+-0.1%
94.24,760,0.0755,0.227,+-0.1,+-0.1,+-0.1%,+-0.1%
92.5,760,0.0976,0.2842,+-0.1,+-0.1,+-0.1%,+-0.1%
92.37,760,0.1047,0.2903,+-0.1,+-0.1,+-0.1%,+-0.1%
91.06,760,0.121,0.3317,+-0.1,+-0.1,+-0.1%,+-0.1%
89.66,760,0.1558,0.3832,+-0.1,+-0.1,+-0.1%,+-0.1%
88.63,760,0.1839,0.4217,+-0.1,+-0.1,+-0.1%,+-0.1%
86.7,760,0.2424,0.4802,+-0.1,+-0.1,+-0.1%,+-0.1%
85.49,760,0.2777,0.5204,+-0.1,+-0.1,+-0.1%,+-0.1%
84.62,760,0.3256,0.548,+-0.1,+-0.1,+-0.1%,+-0.1%
83.7,760,0.372,0.5832,+-0.1,+-0.1,+-0.1%,+-0.1%
82.92,760,0.4162,0.6124,+-0.1,+-0.1,+-0.1%,+-0.1%
82.21,760,0.4782,0.6461,+-0.1,+-0.1,+-0.1%,+-0.1%
81.68,760,0.5543,0.6819,+-0.1,+-0.1,+-0.1%,+-0.1%
81.22,760,0.5797,0.7067,+-0.1,+-0.1,+-0.1%,+-0.1%
80.87,760,0.6234,0.7325,+-0.1,+-0.1,+-0.1%,+-0.1%
80.61,760,0.6805,0.7618,+-0.1,+-0.1,+-0.1%,+-0.1%
80.32,760,0.743,0.7968,+-0.1,+-0.1,+-0.1%,+-0.1%
80.06,760,0.7928,0.822,+-0.1,+-0.1,+-0.1%,+-0.1%
79.87,760,0.8177,0.8297,+-0.1,+-0.1,+-0.1%,+-0.1%
79.95,760,0.8314,0.8656,+-0.1,+-0.1,+-0.1%,+-0.1%
79.81,760,0.8896,0.8935,+-0.1,+-0.1,+-0.1%,+-0.1%
80.01,760,0.9187,0.9229,+-0.1,+-0.1,+-0.1%,+-0.1%
79.85,760,0.9471,0.9483,+-0.1,+-0.1,+-0.1%,+-0.1%
79.87,760,0.9494,0.9494,+-0.1,+-0.1,+-0.1%,+-0.1%
79.97,760,0.9706,0.9693,+-0.1,+-0.1,+-0.1%,+-0.1%
80.25,760,1.0,1.0,+-0.1,+-0.1,+-0.1%,+-0.1%
