"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
-82.65,0.00093,0.0,0.0,0.02,1,0.005,0.005
-82.65,20.0,0.02256,0.999924,0.02,1,0.005,0.005
-82.65,25.0,0.02803,0.99996,0.02,1,0.005,0.005
-82.65,100.0,0.1047,0.99997,0.02,1,0.005,0.005
-82.65,300.0,0.3004,0.999988,0.02,1,0.005,0.005
-82.65,499.6,0.5041,0.999907,0.02,1,0.005,0.005
-82.65,600.0,0.6487,0.999814,0.02,1,0.005,0.005
-82.65,638.0,0.7438,0.999611,0.02,1,0.005,0.005
-82.65,638.0,0.9695,0.999611,0.02,1,0.005,0.005
-82.65,645.0,0.9724,0.999577,0.02,1,0.005,0.005
-82.65,650.0,0.9745,0.999587,0.02,1,0.005,0.005
-82.65,655.0,0.9897,0.999609,0.02,1,0.005,0.005
-82.65,660.0,0.9919,0.999687,0.02,1,0.005,0.005
-82.65,665.0,0.999847,0.99847,0.02,1,0.005,0.005
