"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
373.15,31.14,0.0,,+-0.01,+-0.003,,
373.15,31.154,0.0,,+-0.01,+-0.003,,
373.15,30.96,0.0568,,+-0.01,+-0.003,,
373.15,30.581,0.1582,,+-0.01,+-0.003,,
373.15,30.207,0.2509,,+-0.01,+-0.003,,
373.15,29.697,0.3631,,+-0.01,+-0.003,,
373.15,29.229,0.4574,,+-0.01,+-0.003,,
373.15,28.829,0.532,,+-0.01,+-0.003,,
373.15,28.991,0.502,,+-0.01,+-0.003,,
373.15,28.76,0.5434,,+-0.01,+-0.003,,
373.15,28.055,0.6602,,+-0.01,+-0.003,,
373.15,27.666,0.7211,,+-0.01,+-0.003,,
373.15,26.892,0.8321,,+-0.01,+-0.003,,
373.15,26.1,0.9371,,+-0.01,+-0.003,,
373.15,25.608,1.0,,+-0.01,+-0.003,,
