"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
53.9,760,0.0,0.0,+-0.1,+-0.5,,
53.7,760,0.05,0.067,+-0.1,+-0.5,,
53.5,760,0.11,0.14,+-0.1,+-0.5,,
53.0,760,0.167,0.208,+-0.1,+-0.5,,
52.5,760,0.228,0.282,+-0.1,+-0.5,,
51.9,760,0.312,0.369,+-0.1,+-0.5,,
51.3,760,0.387,0.448,+-0.1,+-0.5,,
50.9,760,0.451,0.512,+-0.1,+-0.5,,
50.5,760,0.525,0.583,+-0.1,+-0.5,,
49.9,760,0.619,0.662,+-0.1,+-0.5,,
49.5,760,0.691,0.727,+-0.1,+-0.5,,
49.3,760,0.758,0.784,+-0.1,+-0.5,,
49.0,760,0.829,0.849,+-0.1,+-0.5,,
48.9,760,0.851,0.868,+-0.1,+-0.5,,
48.6,760,0.934,0.938,+-0.1,+-0.5,,
48.5,760,0.974,0.976,+-0.1,+-0.5,,
48.3,760,1.0,1.0,+-0.1,+-0.5,,
