"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
328,14.2,0.082,0.9961,,,,
328,27.5,0.174,0.9973,,,,
328,41.8,0.264,0.9974,,,,
328,55.1,0.354,0.9971,,,,
328,68.8,0.477,0.9958,,,,
328,82.0,0.614,0.9938,,,,
