"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
-50.0,10.0,0.008,0.312,+-0.02,+-0.03,,
-50.0,20.0,0.025,0.617,+-0.02,+-0.2,,
-50.0,30.0,0.049,0.712,+-0.02,+-0.3,,
-50.0,40.0,0.071,0.761,+-0.02,+-0.2,,
-50.0,50.0,0.096,0.789,+-0.02,+-0.2,,
-50.0,60.0,0.117,0.809,+-0.02,+-0.2,,
-50.0,70.0,0.15,0.814,+-0.02,+-0.2,,
-50.0,80.0,0.189,0.818,+-0.02,+-0.3,,
-50.0,90.0,0.22,0.82,+-0.02,+-0.3,,
-50.0,100.0,0.267,0.819,+-0.02,+-0.3,,
-50.0,110.0,0.293,0.797,+-0.02,+-0.4,,
-50.0,120.0,0.334,0.78,+-0.02,+-0.4,,
-50.0,130.0,0.393,0.762,+-0.02,+-0.5,,
