"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
310.15,0.74,0.131,0.88,+-0.02,+-0.007,,
310.15,1.28,0.2124,0.9195,+-0.02,+-0.007,,
310.15,1.88,0.3063,0.9465,+-0.02,+-0.007,,
310.15,2.51,0.3783,0.958,+-0.02,+-0.007,,
310.15,3.24,0.4521,0.9657,+-0.02,+-0.007,,
310.15,3.89,0.5204,0.9693,+-0.02,+-0.007,,
310.15,4.56,0.5812,0.97,+-0.02,+-0.007,,
310.15,5.19,0.6353,0.9729,+-0.02,+-0.007,,
310.15,5.9,0.694,0.975,+-0.02,+-0.007,,
310.15,6.31,0.737,0.9764,+-0.02,+-0.007,,
310.15,6.72,0.7568,0.9743,+-0.02,+-0.007,,
310.15,7.14,0.7841,0.9754,+-0.02,+-0.007,,
310.15,7.53,0.8134,0.9751,+-0.02,+-0.007,,
310.15,7.97,0.8465,0.9756,+-0.02,+-0.007,,
310.15,8.56,0.8956,0.9752,+-0.02,+-0.007,,
310.15,8.8,0.9087,0.9732,+-0.02,+-0.007,,
310.15,9.07,0.9231,0.9675,+-0.02,+-0.007,,
