"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
70,303.93,0.0,0.0,,,,
70,333.49,0.0227,0.1065,,,,
70,371.28,0.0575,0.2139,,,,
70,394.68,0.0857,0.2833,,,,
70,423.67,0.1195,0.348,,,,
70,446.14,0.1465,0.3974,,,,
70,474.23,0.1893,0.4551,,,,
70,517.24,0.2645,0.5241,,,,
70,538.54,0.3074,0.5617,,,,
70,570.87,0.3767,0.6079,,,,
70,601.29,0.4755,0.6612,,,,
70,622.93,0.5613,0.7038,,,,
70,638.75,0.6416,0.7387,,,,
70,650.79,0.7211,0.7772,,,,
70,658.93,0.785,0.8144,,,,
70,664.18,0.8376,0.8492,,,,
70,666.07,0.8638,0.8659,,,,
70,666.62,0.8902,0.883,,,,
70,667.52,0.9222,0.9154,,,,
70,665.77,0.9533,0.9407,,,,
70,652.78,0.9922,0.9894,,,,
70,650.47,1.0,1.0,,,,
