"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
343.15,0.0429,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.0711,0.051,0.38,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.0984,0.096,0.605,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.1295,0.149,0.736,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.1625,0.198,0.796,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.184,0.226,0.832,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.2183,0.271,0.866,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.2621,0.354,0.918,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.3053,0.414,0.943,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.3529,0.485,0.966,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.4072,0.579,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.4444,0.634,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.4965,0.72,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.5402,0.785,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.5925,0.871,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.6393,0.95,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.6663,0.997,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.6754,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
