"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
333.2,0.522,0.4172,,0.02,0.01,,
343.22,0.652,0.4172,,0.02,0.01,,
353.24,0.802,0.4172,,0.02,0.01,,
363.25,0.972,0.4172,,0.02,0.01,,
373.24,1.164,0.4172,,0.02,0.01,,
383.19,1.381,0.4172,,0.02,0.01,,
393.14,1.622,0.4172,,0.02,0.01,,
403.3,1.893,0.4172,,0.02,0.01,,
413.29,2.19,0.4172,,0.02,0.01,,
423.28,2.619,0.4172,,0.02,0.01,,
433.25,2.88,0.4172,,0.02,0.01,,
443.22,3.277,0.4172,,0.02,0.01,,
453.22,3.712,0.4172,,0.02,0.01,,
463.21,4.181,0.4172,,0.02,0.01,,
473.18,4.667,0.4172,,0.02,0.01,,
478.17,4.901,0.4172,,0.02,0.01,,
483.15,5.084,0.4172,,0.02,0.01,,
485.55,5.126,0.4172,,0.02,0.01,,
