"T, K","P, psi",X,Y,T Err,P Err,X Err,Y Err
90,201,0.0041,0.6992,+-0.5,1,,
90,201,0.004,0.6961,+-0.5,1,,
90,201,0.0042,0.6934,+-0.5,1,,
90,402,0.0097,0.8406,+-0.5,1,,
90,402,0.0096,0.8361,+-0.5,1,,
90,402,,0.8417,+-0.5,1,,
90,604,0.0133,0.8768,+-0.5,1,,
90,604,0.0134,0.8818,+-0.5,1,,
90,604,0.0132,0.8811,+-0.5,1,,
90,803,0.0188,0.9127,+-0.5,1,,
90,803,0.018,0.9143,+-0.5,1,,
90,803,0.018,,+-0.5,1,,
90,1000,0.0226,0.9232,+-0.5,1,,
90,1000,0.0221,0.9252,+-0.5,1,,
90,1000,0.0226,0.9213,+-0.5,1,,
90,1201,0.0288,0.9338,+-0.5,1,,
90,1201,0.0279,0.9335,+-0.5,1,,
90,1201,0.028,0.9335,+-0.5,1,,
90,1201,0.0274,,+-0.5,1,,
90,1400,0.0314,0.9405,+-0.5,1,,
90,1400,0.0312,0.9398,+-0.5,1,,
90,1400,0.0319,,+-0.5,1,,
90,1607,0.038,0.9452,+-0.5,1,,
90,1607,0.038,0.9449,+-0.5,1,,
90,1607,0.0381,,+-0.5,1,,
90,1607,0.0382,,+-0.5,1,,
90,1797,0.0415,0.9464,+-0.5,1,,
90,1797,0.0426,0.9462,+-0.5,1,,
90,1797,0.0424,0.9454,+-0.5,1,,
90,1797,0.0398,0.9489,+-0.5,1,,
90,1797,0.04,,+-0.5,1,,
90,1797,0.0395,,+-0.5,1,,
90,1797,0.0431,,+-0.5,1,,
90,2000,0.0461,0.9511,+-0.5,1,,
90,2000,0.0456,0.9511,+-0.5,1,,
90,2000,0.0458,,+-0.5,1,,
