"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
117.8,760,0.0,0.0,,+-1,,
114.2,760,0.025,0.132,,+-1,,
111.4,760,0.05,0.239,,+-1,,
109.3,760,0.075,0.311,,+-1,,
107.2,760,0.1,0.38,,+-1,,
103.8,760,0.15,0.483,,+-1,,
101.0,760,0.2,0.563,,+-1,,
98.6,760,0.25,0.626,,+-1,,
96.6,760,0.3,0.671,,+-1,,
94.3,760,0.4,0.722,,+-1,,
93.1,760,0.5,0.741,,+-1,,
92.4,760,0.6,0.752,,+-1,,
92.3,760,0.7,0.754,,+-1,,
92.3,760,0.8,0.754,,+-1,,
92.3,760,0.9,0.754,,+-1,,
92.3,760,0.95,0.754,,+-1,,
92.3,760,0.975,0.754,,+-1,,
94.2,760,0.988,0.8,,+-1,,
96.0,760,0.992,0.85,,+-1,,
97.4,760,0.995,0.9,,+-1,,
98.8,760,0.998,0.95,,+-1,,
100.0,760,1.0,1.0,,+-1,,
