"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
40,17.66,0.0,0.0,+-0.02,0.1%,,
40,100.4,0.04258,0.796,+-0.02,0.1%,,
40,200.4,0.08986,0.89,+-0.02,0.1%,,
40,300.4,0.1339,0.9176,+-0.02,0.1%,,
40,400.0,0.1759,0.9313,+-0.02,0.1%,,
40,500.0,0.2152,0.9385,+-0.02,0.1%,,
40,600.0,0.2536,0.9425,+-0.02,0.1%,,
40,800.0,0.3262,0.9469,+-0.02,0.1%,,
40,1000.0,0.3976,0.9459,+-0.02,0.1%,,
40,1200.0,0.4651,0.939,+-0.02,0.1%,,
40,1400.0,0.5331,0.9294,+-0.02,0.1%,,
40,1600.0,0.6078,0.91,+-0.02,0.1%,,
40,1700.0,0.6558,0.8967,+-0.02,0.1%,,
40,1800.0,0.7278,0.846,+-0.02,0.1%,,
40,1822.0,0.7828,0.7828,+-0.02,0.1%,,
