"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
50,165.65,1.0,,+-0.05,+-0.05,,
50,235.47,0.9683,,+-0.05,+-0.05,,
50,282.24,0.9461,,+-0.05,+-0.05,,
50,421.51,0.8792,,+-0.05,+-0.05,,
50,583.1,0.7988,,+-0.05,+-0.05,,
50,768.7,0.7051,,+-0.05,+-0.05,,
50,989.44,0.5851,,+-0.05,+-0.05,,
50,1018.5,0.5765,,+-0.05,+-0.05,,
50,1164.7,0.4867,,+-0.05,+-0.05,,
50,1212.8,0.454,,+-0.05,+-0.05,,
50,1352.9,0.368,,+-0.05,+-0.05,,
50,1617.4,0.2076,,+-0.05,+-0.05,,
50,1802.0,0.1115,,+-0.05,+-0.05,,
50,1949.3,0.0458,,+-0.05,+-0.05,,
50,2013.5,0.0164,,+-0.05,+-0.05,,
50,2058.8,0.0,,+-0.05,+-0.05,,
