"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
55,17.7,0.886,,0.2,0.3,0.0025,0.0025
55,23.9,0.816,,0.2,0.3,0.0025,0.0025
55,30.8,0.766,,0.2,0.3,0.0025,0.0025
55,52.3,0.605,,0.2,0.3,0.0025,0.0025
55,62.9,0.53,,0.2,0.3,0.0025,0.0025
55,69.9,0.474,,0.2,0.3,0.0025,0.0025
55,75.6,0.42,,0.2,0.3,0.0025,0.0025
55,79.6,0.351,,0.2,0.3,0.0025,0.0025
55,87.1,0.282,,0.2,0.3,0.0025,0.0025
55,86.0,0.216,,0.2,0.3,0.0025,0.0025
55,89.9,0.162,,0.2,0.3,0.0025,0.0025
55,92.9,0.112,,0.2,0.3,0.0025,0.0025
55,95.1,0.09,,0.2,0.3,0.0025,0.0025
55,96.8,,0.053,0.2,0.3,0.0025,0.0025
