"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
372.36,101.32,0.0,0.0,,,0.002,0.004
370.68,101.32,0.0397,0.0941,,,0.002,0.004
369.8,101.32,0.0644,0.1443,,,0.002,0.004
368.82,101.32,0.091,0.1953,,,0.002,0.004
366.96,101.32,0.1511,0.2951,,,0.002,0.004
366.34,101.32,0.1693,0.3233,,,0.002,0.004
365.4,101.32,0.196,0.3638,,,0.002,0.004
364.14,101.32,0.2435,0.4289,,,0.002,0.004
363.61,101.32,0.2656,0.4564,,,0.002,0.004
363.18,101.32,0.2799,0.4701,,,0.002,0.004
362.77,101.32,0.294,0.4873,,,0.002,0.004
362.25,101.32,0.3138,0.5084,,,0.002,0.004
361.76,101.32,0.3334,0.5301,,,0.002,0.004
361.27,101.32,0.3538,0.5504,,,0.002,0.004
360.82,101.32,0.3754,0.5695,,,0.002,0.004
360.32,101.32,0.3978,0.5903,,,0.002,0.004
359.86,101.32,0.4209,0.6102,,,0.002,0.004
359.34,101.32,0.4469,0.6327,,,0.002,0.004
358.7,101.32,0.4798,0.6596,,,0.002,0.004
358.12,101.32,0.5137,0.6846,,,0.002,0.004
357.22,101.32,0.5605,0.7175,,,0.002,0.004
356.6,101.32,0.6003,0.7443,,,0.002,0.004
355.9,101.32,0.6489,0.773,,,0.002,0.004
355.32,101.32,0.6901,0.8001,,,0.002,0.004
355.02,101.32,0.7172,0.8152,,,0.002,0.004
354.49,101.32,0.7629,0.8462,,,0.002,0.004
353.81,101.32,0.8199,0.878,,,0.002,0.004
353.64,101.32,0.8355,0.8903,,,0.002,0.004
353.5,101.32,0.853,0.9003,,,0.002,0.004
353.04,101.32,0.893,0.9211,,,0.002,0.004
352.84,101.32,0.9252,0.9427,,,0.002,0.004
352.74,101.32,0.9464,0.9571,,,0.002,0.004
352.66,101.32,1.0,1.0,,,0.002,0.004
