"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
90,125.59,0.01,0.091,+-0.05,+-0.2,+-0.005,+-0.005
90,160.68,0.05,0.313,+-0.05,+-0.2,+-0.005,+-0.005
90,194.12,0.1,0.454,+-0.05,+-0.2,+-0.005,+-0.005
90,220.86,0.15,0.539,+-0.05,+-0.2,+-0.005,+-0.005
90,243.94,0.2,0.599,+-0.05,+-0.2,+-0.005,+-0.005
90,264.97,0.25,0.647,+-0.05,+-0.2,+-0.005,+-0.005
90,283.94,0.3,0.686,+-0.05,+-0.2,+-0.005,+-0.005
90,301.4,0.35,0.718,+-0.05,+-0.2,+-0.005,+-0.005
90,317.04,0.4,0.745,+-0.05,+-0.2,+-0.005,+-0.005
90,330.77,0.45,0.768,+-0.05,+-0.2,+-0.005,+-0.005
90,342.64,0.5,0.788,+-0.05,+-0.2,+-0.005,+-0.005
90,352.87,0.55,0.805,+-0.05,+-0.2,+-0.005,+-0.005
90,361.82,0.6,0.821,+-0.05,+-0.2,+-0.005,+-0.005
90,369.89,0.65,0.836,+-0.05,+-0.2,+-0.005,+-0.005
90,378.45,0.7,0.852,+-0.05,+-0.2,+-0.005,+-0.005
90,384.71,0.75,0.868,+-0.05,+-0.2,+-0.005,+-0.005
90,391.65,0.8,0.887,+-0.05,+-0.2,+-0.005,+-0.005
90,397.65,0.85,0.907,+-0.05,+-0.2,+-0.005,+-0.005
90,403.04,0.9,0.929,+-0.05,+-0.2,+-0.005,+-0.005
90,406.1,0.95,0.956,+-0.05,+-0.2,+-0.005,+-0.005
