"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
95.0,27.53,0.0,0.0,,,,
95.0,29.97,0.009,0.085,,,,
95.0,33.64,0.0237,0.194,,,,
95.0,37.96,0.0419,0.2984,,,,
95.0,42.63,0.0628,0.3831,,,,
95.0,47.29,0.084,0.4553,,,,
95.0,51.84,0.1085,0.514,,,,
95.0,56.56,0.1381,0.5674,,,,
95.0,59.14,0.1561,0.5897,,,,
95.0,66.89,0.2165,0.6527,,,,
95.0,72.51,0.272,0.6926,,,,
95.0,78.41,0.3486,0.7296,,,,
95.0,82.87,0.4243,0.7574,,,,
95.0,86.22,0.4924,0.777,,,,
95.0,89.07,0.5674,0.7959,,,,
95.0,91.16,0.646,0.8174,,,,
95.0,93.01,0.7263,0.8367,,,,
95.0,94.27,0.8061,0.8581,,,,
95.0,94.93,0.8831,0.8874,,,,
95.0,94.1,0.9594,0.943,,,,
95.0,92.02,1.0,1.0,,,,
