"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
0,1.04,0.0,0.0,+-0.05,0.2%,,
0,2.4,0.03,0.588,+-0.05,0.2%,,
0,3.9,0.057,0.741,+-0.05,0.2%,,
0,5.8,0.094,0.826,+-0.05,0.2%,,
0,8.3,0.144,0.877,+-0.05,0.2%,,
0,10.6,0.2,0.9,+-0.05,0.2%,,
0,12.9,0.275,0.916,+-0.05,0.2%,,
0,15.3,0.334,0.92,+-0.05,0.2%,,
0,17.8,0.398,0.932,+-0.05,0.2%,,
0,20.0,0.469,0.942,+-0.05,0.2%,,
0,22.9,0.568,0.951,+-0.05,0.2%,,
0,25.7,0.681,0.963,+-0.05,0.2%,,
0,28.6,0.804,0.974,+-0.05,0.2%,,
0,31.5,0.911,0.983,+-0.05,0.2%,,
0,34.4,1.0,1.0,+-0.05,0.2%,,
