"T, deg.C","P, MPa",X,Y,T Err,P Err,X Err,Y Err
133.0,0.886,0.0,0.0,+-0.1,+-0.15%,,
133.0,1.136,0.0112,0.179,+-0.1,+-0.15%,,
133.0,1.633,0.0343,0.3815,+-0.1,+-0.15%,,
133.0,2.586,0.1229,0.6169,+-0.1,+-0.15%,,
133.0,3.662,0.4107,0.7434,+-0.1,+-0.15%,,
133.0,3.723,0.4671,0.7567,+-0.1,+-0.15%,,
133.0,3.92,0.7244,0.7868,+-0.1,+-0.15%,,
133.0,3.959,0.8048,0.8048,+-0.1,+-0.15%,,
133.0,3.951,0.8465,0.8465,+-0.1,+-0.15%,,
133.0,3.816,0.913,0.913,+-0.1,+-0.15%,,
133.0,3.742,0.9452,0.9369,+-0.1,+-0.15%,,
133.0,3.651,0.9782,0.9711,+-0.1,+-0.15%,,
133.0,3.591,0.9897,0.9833,+-0.1,+-0.15%,,
133.0,3.529,1.0,1.0,+-0.1,+-0.15%,,
