"T, deg.C","P, psi",X,Y,T Err,P Err,X Err,Y Err
152.2,100,0.988,0.937,+-0.3,,,
150.5,100,0.96,0.877,+-0.3,,,
147.4,100,0.9,0.771,+-0.3,,,
143.5,100,0.835,0.684,+-0.3,,,
142.4,100,0.826,0.667,+-0.3,,,
140.3,100,0.722,0.596,+-0.3,,,
139.3,100,0.6,0.533,+-0.3,,,
139.0,100,0.537,0.507,+-0.3,,,
139.2,100,0.465,0.51,+-0.3,,,
139.3,100,0.383,0.517,+-0.3,,,
139.3,100,0.331,0.504,+-0.3,,,
139.4,100,0.22,0.509,+-0.3,,,
139.4,100,0.12,0.499,+-0.3,,,
141.9,100,0.046,0.469,+-0.3,,,
142.9,100,0.03,0.459,+-0.3,,,
149.2,100,0.012,0.363,+-0.3,,,
155.1,100,0.006,0.264,+-0.3,,,
162.6,100,0.001,0.089,+-0.3,,,
