"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
100.0,1,0.0,0.0,,,,
99.18,1,0.0025,0.0309,,,,
98.68,1,0.0049,0.0554,,,,
97.54,1,0.0113,0.0994,,,,
96.14,1,0.0193,0.1446,,,,
95.18,1,0.0267,0.178,,,,
94.04,1,0.0397,0.226,,,,
93.06,1,0.0556,0.2634,,,,
92.48,1,0.0622,0.2793,,,,
90.58,1,0.1058,0.3456,,,,
89.96,1,0.168,0.3658,,,,
89.14,1,0.4216,0.4336,,,,
89.06,1,0.5517,0.475,,,,
90.04,1,0.6921,0.5747,,,,
90.88,1,0.7658,0.6338,,,,
92.18,1,0.834,0.7058,,,,
93.16,1,0.8813,0.769,,,,
94.96,1,0.9402,0.8696,,,,
96.58,1,0.9824,0.9596,,,,
