"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
289.02,3.091,0.1421,,0.01,,+-0.001,
292.25,3.317,0.1421,,0.01,,+-0.001,
296.26,3.616,0.1421,,0.01,,+-0.001,
299.1,3.84,0.1421,,0.01,,+-0.001,
302.13,4.098,0.1421,,0.01,,+-0.001,
306.11,4.447,0.1421,,0.01,,+-0.001,
311.01,4.92,0.1421,,0.01,,+-0.001,
319.79,5.885,0.1421,,0.01,,+-0.001,
326.54,6.741,0.1421,,0.01,,+-0.001,
333.41,7.659,0.1421,,0.01,,+-0.001,
341.14,8.709,0.1421,,0.01,,+-0.001,
349.23,9.778,0.1421,,0.01,,+-0.001,
355.92,10.646,0.1421,,0.01,,+-0.001,
