"T, deg.C","P, bar",X,Y,T Err,P Err,X Err,Y Err
50.0,7.07,0.0,0.0,,,,
50.0,7.38,0.0813,0.1085,,,,
50.0,7.61,0.16,0.2024,,,,
50.0,7.75,0.2305,0.2736,,,,
50.0,7.93,0.3764,0.4027,,,,
50.0,7.95,0.4343,0.4476,,,,
50.0,7.95,0.4922,0.496,,,,
50.0,7.95,0.525,0.5221,,,,
50.0,7.95,0.5537,0.5447,,,,
50.0,7.92,0.6059,0.5863,,,,
50.0,7.89,0.6328,0.6066,,,,
50.0,7.75,0.7333,0.692,,,,
50.0,7.55,0.8152,0.7707,,,,
50.0,7.33,0.8803,0.8415,,,,
50.0,7.15,0.9319,0.9033,,,,
50.0,7.02,0.9602,0.9407,,,,
50.0,6.83,1.0,1.0,,,,
