"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
134.8,760,0.966,0.954,,,,
134.5,760,0.938,0.918,,,,
134.0,760,0.902,0.878,,,,
133.7,760,0.867,0.842,,,,
133.3,760,0.818,0.797,,,,
133.2,760,0.841,0.817,,,,
133.1,760,0.809,0.788,,,,
133.2,760,0.779,0.765,,,,
133.2,760,0.747,0.744,,,,
133.2,760,0.746,0.746,,,,
133.2,760,0.727,0.732,,,,
133.2,760,0.671,0.696,,,,
133.6,760,0.592,0.65,,,,
134.3,760,0.502,0.604,,,,
135.0,760,0.41,0.565,,,,
136.5,760,0.323,0.51,,,,
138.3,760,0.246,0.445,,,,
140.1,760,0.186,0.388,,,,
142.5,760,0.133,0.306,,,,
