"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
157.4,26.7,0.0,,+-0.1,+-0.13,,
156.2,26.7,0.0696,,+-0.1,+-0.13,,
155.2,26.7,0.1182,,+-0.1,+-0.13,,
153.2,26.7,0.1896,,+-0.1,+-0.13,,
152.6,26.7,0.2262,,+-0.1,+-0.13,,
151.5,26.7,0.2873,,+-0.1,+-0.13,,
150.1,26.7,0.3542,,+-0.1,+-0.13,,
148.9,26.7,0.4046,,+-0.1,+-0.13,,
148.0,26.7,0.4514,,+-0.1,+-0.13,,
146.7,26.7,0.5236,,+-0.1,+-0.13,,
145.5,26.7,0.5618,,+-0.1,+-0.13,,
144.6,26.7,0.621,,+-0.1,+-0.13,,
143.5,26.7,0.6962,,+-0.1,+-0.13,,
142.8,26.7,0.7356,,+-0.1,+-0.13,,
142.3,26.7,0.7663,,+-0.1,+-0.13,,
141.9,26.7,0.8062,,+-0.1,+-0.13,,
141.5,26.7,0.8515,,+-0.1,+-0.13,,
141.2,26.7,0.8706,,+-0.1,+-0.13,,
140.3,26.7,0.9125,,+-0.1,+-0.13,,
139.9,26.7,0.9434,,+-0.1,+-0.13,,
139.3,26.7,0.9643,,+-0.1,+-0.13,,
139.0,26.7,1.0,,+-0.1,+-0.13,,
