"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
377.42,760,0.0241,0.1822,0.01,+-0.01,,
365.94,760,0.111,0.4534,0.01,+-0.01,,
361.27,760,0.2124,0.5575,0.01,+-0.01,,
358.61,760,0.3386,0.6195,0.01,+-0.01,,
358.4,760,0.373,0.6401,0.01,+-0.01,,
356.78,760,0.4654,0.6744,0.01,+-0.01,,
355.92,760,0.56,0.7073,0.01,+-0.01,,
355.59,760,0.6424,0.7411,0.01,+-0.01,,
354.92,760,0.7381,0.764,0.01,+-0.01,,
354.54,760,0.7981,0.8096,0.01,+-0.01,,
354.55,760,0.8691,0.8603,0.01,+-0.01,,
354.55,760,0.8894,0.8771,0.01,+-0.01,,
354.91,760,0.9358,0.9253,0.01,+-0.01,,
355.08,760,0.9593,0.9427,0.01,+-0.01,,
355.43,760,0.9848,0.9744,0.01,+-0.01,,
